,user,text,favorite_count,retweet_count,created_at,cleaned_tweet,polarity,subjectivity
128,elonmusk,"The next question one is typically asked is “Have you tried ayahuasca?”
https://t.co/zo3Lw6nlxw",17323,991,2022-10-11,next question one is typically asked is have you tried ayahuasca,-0.08333333333333333,0.25
129,elonmusk,https://t.co/Q31B9x4RCH,67254,4964,2022-10-11,,0.0,0.0
130,elonmusk,@JoshuaPGallaway @Susiecmd @CYBERTRCK @LindseyGrahamSC Not subtle,1565,77,2022-10-11,not subtle,0.16666666666666666,0.5
131,elonmusk,"@SamHarrisOrg @tegmark Sam, there is a such a thing as meditating too much",11488,651,2022-10-11,sam there is such thing as meditating too much,0.1,0.35
132,elonmusk,"@teslaownersSV @PPathole @NorthmanTrader Yes, back to regularly scheduled programming",6668,300,2022-10-11,yes back regularly scheduled programming,0.0,0.038461538461538464
133,elonmusk,"@PPathole @NorthmanTrader Pointless, as there is currently no overlap between Russian and Ukrainian demands – it’s not even close",9698,509,2022-10-11,pointless as there is currently no overlap between russian ukrainian demands it s not even close,-0.08333333333333333,0.3
134,elonmusk,"@NorthmanTrader No, it is not. I have spoken to Putin only once and that was about 18 months ago. The subject matter was space.",125200,8549,2022-10-11,no it is not i have spoken putin only once that was about 18 months ago subject matter was space,-0.08333333333333333,0.6666666666666666
135,elonmusk,"@kanyewest Talked to ye today &amp; expressed my concerns about his recent tweet, which I think he took to heart",55262,2421,2022-10-11,talked ye today amp expressed my concerns about his recent tweet which i think he took heart,0.0,0.25
136,elonmusk,@Teslarati @JohnnaCrider1 It was built &amp; paid for at my request. Hunter &amp; team did great work.,13496,571,2022-10-10,it was built amp paid at my request hunter amp team did great work,0.8,0.75
137,elonmusk,@CathieDWood 💯,12353,582,2022-10-10,,0.0,0.0
138,elonmusk,@WholeMarsBlog It will,3365,164,2022-10-10,it will,0.0,0.0
139,elonmusk,@chicago_glenn @neiltyson Strange @Twitter,3328,162,2022-10-10,strange,-0.05,0.15
